course_id,course_title,course_description,course_level,course_competencies,course_instructor,course_duration,course_prerequisites,course_slot,course_capacity,course_type,course_overall_rating,course_industryfit,course_credits,course_department,slot_time
MEL 001,Engineering Mechanics,Introductory to engineering mechanics and its applications in engineering.,Beginner,"['Electronics', 'ML', 'Optimization']",Prof. B. Singh,6 weeks,['CHEM 001'],A,45,Lab,3.84,3.06,3,MEL,8-10 AM
EE 002,Applied Mathematics in Engineering,Introductory to applied mathematics in engineering and its applications in engineering.,Advanced,"['Python', 'Optimization', 'ML']",Dr. E. Reddy,12 weeks,['CS 001'],E,68,Lab,3.56,4.74,3,EE,4-6 PM
MEL 003,Experimental Methods,Introductory to experimental methods and its applications in engineering.,Intermediate,"['Electronics', 'AI', 'ML']",Dr. C. Sharma,6 weeks,['None'],D,64,Core,3.72,3.69,4,MEL,2-4 PM
CS 004,Solid Mechanics,Introductory to solid mechanics and its applications in engineering.,Advanced,"['Math', 'Design', 'Simulation']",Dr. E. Reddy,10 weeks,['CHEM 001'],D,63,Lab,3.38,3.14,5,CS,2-4 PM
EE 005,Fluid Mechanics,Introductory to fluid mechanics and its applications in engineering.,Beginner,"['ML', 'Math', 'Design']",Dr. C. Sharma,12 weeks,['EE 002'],C,50,Elective,3.71,4.34,5,EE,12-2 PM
MEL 006,Heat Transfer,Introductory to heat transfer and its applications in engineering.,Advanced,"['AI', 'Optimization', 'ML']",Prof. B. Singh,12 weeks,['AI 003'],A,57,Lab,4.38,3.44,4,MEL,8-10 AM
CS 007,Thermodynamics,Introductory to thermodynamics and its applications in engineering.,Beginner,"['Mechanics', 'Design', 'Electronics']",Dr. A. Mehta,8 weeks,['CHEM 001'],B,60,Core,4.31,3.79,5,CS,10-12 PM
AI 008,Design Engineering,Introductory to design engineering and its applications in engineering.,Intermediate,"['AI', 'ML', 'Electronics']",Dr. E. Reddy,12 weeks,['CHEM 001'],B,65,Elective,3.44,5.0,5,AI,10-12 PM
AI 009,Machine Learning in Mechanics,Introductory to machine learning in mechanics and its applications in engineering.,Beginner,"['Math', 'AI', 'Optimization']",Prof. D. Patel,6 weeks,['AI 003'],A,64,Lab,4.99,4.06,5,AI,8-10 AM
CS 010,Computational Mechanics,Introductory to computational mechanics and its applications in engineering.,Advanced,"['Optimization', 'Electronics', 'Mechanics']",Dr. A. Mehta,10 weeks,['AI 003'],A,50,Elective,3.01,4.44,5,CS,8-10 AM
