Course_id,Course_title,Course_description,Course_level,Course_competencies,Course_instructor,Course_prerequisites,Course_slot,Course_capacity,Course_department,course_overall_rating,Course_industryfit,Course_credits
AMD5050,Minor Project,"Minor Project introduces core concepts and practical techniques related to minor project.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",5.0,"['Technical Writing', 'Project Management', 'Research']",ROHIT S NAIR,[],X,15.0,AMD,3.56,[],0.0
AMD7100,M.Tech. Cornerstone Project,"M.Tech. Cornerstone Project introduces core concepts and practical techniques related to m.tech. cornerstone project.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Technical Writing', 'Project Management', 'Research']",ARJUN SHARMA,[],X,30.0,AMD,1.1,[],0.0
AMD8021,M.S.(R) Thesis,"M.S.(R) Thesis introduces core concepts and practical techniques related to m.s.(r) thesis.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",RITABRATA THAKUR,[],X,30.0,AMD,2.1,[],0.0
AMD812,Major Project Part-Ii,"Major Project Part-Ii introduces core concepts and practical techniques related to major project part-ii.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",8.0,"['Technical Writing', 'Project Management', 'Research']",ARJUN SHARMA,[],X,60.0,AMD,1.89,[],0.0
AML1050,Engineering Thermodynamics,"Engineering Thermodynamics introduces core concepts and practical techniques related to engineering thermodynamics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",1.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",ANUPAM DEWAN,[],X,35.0,AML,3.95,[],3.0
AML5060,Submarine Design,"Submarine Design introduces core concepts and practical techniques related to submarine design.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",5.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",KIRAN RAMESH,[],X,15.0,AML,3.71,[],3.0
AML5080,Structural Design Of Ships,"Structural Design Of Ships introduces core concepts and practical techniques related to structural design of ships.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",5.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",ROHIT S NAIR,[],X,15.0,AML,4.57,[],3.0
AML7050,Experimental Methods For Solids &Amp; Fluids,"Experimental Methods For Solids &Amp; Fluids introduces core concepts and practical techniques related to experimental methods for solids &amp; fluids.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",VIKRANT TIWARI,[],B,60.0,AML,1.35,[],2.0
AML7060,Advanced Dynamics,"Advanced Dynamics introduces core concepts and practical techniques related to advanced dynamics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",RAJDIP NAYEK,[],F,60.0,AML,2.69,[],3.0
AML7070,Finite Element Method,"Finite Element Method introduces core concepts and practical techniques related to finite element method.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",BADRI PRASAD PATEL,[],D,60.0,AML,1.12,[],3.0
AML7080,Computational Fluid Dynamics,"Computational Fluid Dynamics introduces core concepts and practical techniques related to computational fluid dynamics.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",SAWAN SUMAN SINHA,[],E,60.0,AML,1.87,[],3.0
AML7090,Systems Engineering And Design,"Systems Engineering And Design introduces core concepts and practical techniques related to systems engineering and design.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Debugging', 'Modeling & Simulation', 'Software Design', 'Programming', 'Engineering Analysis', 'Problem Solving', 'System Design']",VAMSI KRISHNA CHALAMALLA,[],B,60.0,AML,3.02,"['SDE', 'Software Engineer', 'Developer']",1.0
AML7210,Theory Of Plates And Shells,"Theory Of Plates And Shells introduces core concepts and practical techniques related to theory of plates and shells.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",NIKHIL WALANI,[],J,15.0,AML,1.11,[],3.0
AML7220,Stability Of Structures,"Stability Of Structures introduces core concepts and practical techniques related to stability of structures.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Foundational Knowledge', 'Problem Solving']",MALOY KUMAR SINGHA,[],H,15.0,AML,1.8,[],3.0
AML7270,Fatigue Failure And Design,"Fatigue Failure And Design introduces core concepts and practical techniques related to fatigue failure and design.
Students will learn theory and hands-on skills, with assignments and projects to apply knowledge.",7.0,"['Modeling & Simulation', 'Problem Solving', 'Engineering Analysis']",RITWIK BANDYOPADHYAY,[],H,15.0,AML,3.6,[],3.0
